Date,Open,High,Low,Close,Adj Close,Volume
5/8/2020,223.5500031,225,222.4799957,224.8600006,220.3939514,31852300
5/11/2020,223.4900055,227.9299927,223.25,226.8699951,222.3640289,35714100
5/12/2020,227.4900055,228.1000061,222.0899963,222.1199951,217.708374,41054100
5/13/2020,222.6600037,224.6100006,216.7100067,219.3399963,214.9835968,65521200
5/14/2020,217.9700012,221.8699951,215.9900055,221.8300018,217.4241486,51549300
5/15/2020,218.7799988,223.3300018,218.3300018,223.2700043,218.8355408,55747200
5/18/2020,226.2799988,228.6799927,225.4700012,227.4299927,222.9129028,42398100
5/19/2020,227.6999969,229.8500061,226.7100067,226.8600006,222.3542328,36237300
5/20/2020,229.5,231.7599945,229.4799957,231.3899994,226.7942657,37417000
5/21/2020,231.4400024,232.1399994,228.3399963,228.8699951,224.3243256,43642900
5/22/2020,228.4499969,229.8699951,227.5,229.6600037,225.0986328,28762400
5/26/2020,233.3600006,233.5700073,228.7899933,229.0399933,224.4909515,33055300
5/27/2020,228.6900024,230.4100037,223.9400024,230.2899933,225.716095,55665600
5/28/2020,229.1100006,233.4700012,229.0500031,229.9900055,225.4220581,42784300
5/29/2020,230.3800049,233.6000061,228.7599945,233.3600006,228.7251587,50691800
6/1/2020,232.4600067,234.4499969,232,234.0599976,229.4112549,25776000
6/2/2020,234.5,235.6900024,232.0099945,235.6300049,230.950058,33383400
6/3/2020,236.2599945,237.4700012,235.3500061,236.6900024,231.9890137,37228700
6/4/2020,236.3300018,237.7899933,233.6799927,235.0299988,230.3619537,38716100
6/5/2020,236.2200012,240.3000031,235.6300049,239.6900024,234.9294281,47365600
6/8/2020,239.5399933,241.6799927,237.9100037,241.5500031,236.7524719,32937300
6/9/2020,240.6600037,244.1799927,240.4700012,243.3000031,238.4677124,35046300
6/10/2020,245.0500031,247.8200073,244.5099945,246.2200012,241.3297729,58084400
6/11/2020,242.1600037,243.5899963,233.9600067,234.0200043,229.3720551,72919400
6/12/2020,239.0899963,240.3999939,231.7400055,235.8800049,231.1951141,72034800
6/15/2020,232.4400024,239.4499969,231.4700012,238.75,234.0081024,45307400
6/16/2020,243.7799988,244.3899994,239.1000061,242.8500061,238.0266724,48890100
6/17/2020,244.3999939,245.5,242.7299957,243.6199951,238.7813416,34749300
6/18/2020,243.2899933,244.5299988,242.4900055,244.2799988,239.4282684,30578600
6/19/2020,246.7299957,247,242.4499969,244.2400055,239.3890381,49422100
6/22/2020,243.6799927,246.8699951,243.3800049,246.7400055,242.259964,24068700
6/23/2020,248.3899994,251.1499939,247.8200073,248.8399963,244.3218384,32767400
6/24/2020,248.0599976,249.3300018,242.1600037,243.7100067,239.2849884,46032400
6/25/2020,243.8000031,246.3399963,241.1399994,246.0299988,241.562851,36940800
6/26/2020,245.7799988,245.9600067,239.6799927,240.2200012,235.8583374,52824600
6/29/2020,239.9700012,242.8500061,237.3500061,242.8399963,238.4307556,34377800
6/30/2020,242.7700043,248.1600037,242.5800018,247.6000061,243.1043396,38909200
7/1/2020,247.6399994,251.5200043,247.0800018,250.4900055,245.941864,34689200
7/2/2020,253.0200043,254.2700043,251.7100067,252.1900024,247.6109924,31956500
7/6/2020,255.4499969,258.9299927,255.4299927,258.3900146,253.6984406,34589000
7/7/2020,258.1300049,260.8800049,256.2999878,256.6099854,251.9506989,36578200
7/8/2020,257.980011,260.019989,256.5,259.9899902,255.2693787,30426300
7/9/2020,261.9700012,262.8699951,257.6300049,262.1799927,257.4195862,40312900
7/10/2020,262.0299988,264.230011,259.2600098,263.9700012,259.177124,32885300
7/13/2020,266.9100037,269.7900085,257.6900024,258.5400085,253.8456726,64108100
7/14/2020,255.9299927,260.7900085,252.7599945,260.3699951,255.6424408,72230500
7/15/2020,261.8299866,262.6900024,257.4899902,260.8999939,256.1628723,54523900
7/16/2020,258.019989,259.7799988,255.6199951,259.1199951,254.4151917,47594100
7/17/2020,259.5899963,260.3099976,257.1700134,259.4200134,254.7097473,35137900
7/20/2020,260.0799866,267.4299927,258.7900085,266.7799988,261.9360962,40610100
7/21/2020,268.3999939,268.4100037,263.1300049,264,259.2065735,43243800
7/22/2020,264.5100098,265.8900146,262.5499878,264.9299927,260.1196899,29865500
7/23/2020,264.5100098,265.2399902,256.5499878,258.0100098,253.3253021,51363500
7/24/2020,254.0399933,256.9299927,251.3200073,255.5599976,250.9198151,54054500
7/27/2020,257.2600098,260.519989,256.4500122,260.1199951,255.3970032,36445700
7/28/2020,259.3099976,259.8500061,256.5100098,256.8099976,252.14711,31302400
7/29/2020,258.3999939,260.6600037,257.9100037,259.769989,255.05336,27556900
7/30/2020,257.7399902,261.7099915,256.5499878,261.1300049,256.3886719,41774500
7/31/2020,265.9100037,265.9500122,260.8500061,265.7900085,260.9640503,53686300
8/3/2020,268,270.1499939,267.8699951,269.3800049,264.4888916,32081600
8/4/2020,268.8599854,270.480011,268.0899963,270.3800049,265.4707031,24911300
8/5/2020,270.8800049,271.519989,269.9599915,271.0499878,266.12854,21612100
8/6/2020,270.8500061,274.980011,270.1900024,274.6400146,269.6533813,28048200
8/7/2020,274.0799866,274.8800049,269.25,271.4700012,266.5409546,44969400
8/10/2020,271.769989,271.980011,266.6700134,270.3099976,265.4019775,35088400
8/11/2020,269.1099854,270.4400024,264.6300049,265.1900024,260.3749695,43104300
8/12/2020,267.4200134,272.8399963,267.3699951,271.8599854,266.9237976,38773400
8/13/2020,272.6600037,274.8299866,271.5100098,272.480011,267.5325928,31895700
8/14/2020,273.1199951,273.3999939,270.7200012,272.1600037,267.2184448,30799500
8/17/2020,273.9299927,275.8399963,272.2000122,275.3200073,270.3209839,24803000
8/18/2020,276.4200134,278.4599915,274.9100037,277.9700012,272.9229431,23529500
8/19/2020,277.9299927,279.019989,275.5700073,276.1000061,271.0869141,31999400
8/20/2020,275.2799988,280.4299927,274.8599854,279.9299927,274.8473511,27723400
8/21/2020,280.1300049,282.3399963,279.4599915,281.8699951,276.7520447,34748900
8/24/2020,285.25,286,281.269989,283.6300049,278.4801331,36418500
8/25/2020,282.8299866,286.0599976,282.3699951,285.8599854,280.6696167,34866600
